,agent/total_reward
1,-2993.134765625
2,-5099.4267578125
3,-3752.00732421875
4,-3841.5654296875
5,-4110.86474609375
6,-6249.16162109375
7,-3252.10302734375
8,-3065.16796875
9,-2688.859619140625
10,-3753.9130859375
11,-4719.97021484375
12,-5031.81982421875
13,-3836.6494140625
14,-4341.46533203125
15,-3193.784423828125
16,-3329.26953125
17,-2681.98876953125
18,-3774.39599609375
19,-4791.05859375
20,-5639.541015625
21,-3087.755126953125
22,-3540.736083984375
23,-3513.0498046875
24,-3973.23388671875
25,-2878.658935546875
26,-3440.210693359375
27,-6288.5126953125
28,-4789.60693359375
29,-4682.87255859375
30,-3708.437255859375
31,-3486.335693359375
32,-4583.65283203125
33,-4111.28515625
34,-5141.38134765625
35,-3537.391357421875
36,-3242.341064453125
37,-4971.32177734375
38,-2607.860595703125
39,-3580.68896484375
40,-2746.706298828125
41,-4746.5419921875
42,-4386.587890625
43,-5051.50537109375
44,-3786.859130859375
45,-3817.758056640625
46,-2329.950439453125
47,-2518.14892578125
48,-4491.6064453125
49,-3489.730712890625
50,-3762.62353515625
51,-6075.5498046875
52,-3689.80224609375
53,-3387.564208984375
54,-5453.0283203125
55,-3501.352783203125
56,-3851.086669921875
57,-3272.798583984375
58,-5229.28515625
59,-5022.876953125
60,-3238.02392578125
61,-4032.623779296875
62,-4144.5634765625
63,-3304.945556640625
64,-4894.34716796875
65,-2287.293212890625
66,-4488.01220703125
67,-4076.2548828125
68,-3041.8427734375
69,-4301.48291015625
70,-4942.77099609375
71,-5987.46875
72,-3126.602783203125
73,-4557.84423828125
74,-4055.416748046875
75,-5452.73583984375
76,-5888.5751953125
77,-3884.040771484375
78,-5166.1396484375
79,-4749.24169921875
80,-4546.93603515625
81,-3127.91162109375
82,-3747.219482421875
83,-2856.194580078125
84,-3829.424560546875
85,-4361.76611328125
86,-4362.66259765625
87,-5786.68017578125
88,-5277.77587890625
89,-3662.63818359375
90,-5857.12548828125
91,-3776.639404296875
92,-4473.8564453125
93,-3822.701904296875
94,-2907.1142578125
95,-4013.439453125
96,-3073.822998046875
97,-5448.99072265625
98,-4957.140625
99,-3527.875732421875
100,-5600.91064453125
101,-4162.99609375
102,-14274.47265625
103,-9769.6259765625
104,-9364.7470703125
105,-18778.89453125
106,-30359.994140625
107,-27079.986328125
108,-25348.673828125
109,-28518.50390625
110,-30118.916015625
111,-31763.111328125
112,-38584.203125
113,-33995.38671875
114,-35054.25390625
115,-28188.35546875
116,-32141.91015625
117,-27619.349609375
118,-24269.123046875
119,-20320.087890625
120,-17553.97265625
121,-14942.021484375
122,-12248.380859375
123,-12380.9873046875
124,-10581.201171875
125,-10422.59375
126,-9701.31640625
127,-8790.5400390625
128,-9733.84765625
129,-9538.5908203125
130,-10029.958984375
131,-8695.490234375
132,-7842.6298828125
133,-8705.4130859375
134,-9006.169921875
135,-7279.115234375
136,-9776.60546875
137,-8802.1513671875
138,-9732.240234375
139,-7480.22900390625
140,-7045.63671875
141,-6961.76904296875
142,-6636.8408203125
143,-7395.6650390625
144,-8741.431640625
145,-6809.923828125
146,-8277.1943359375
147,-7598.26171875
148,-6360.1953125
149,-6187.88037109375
150,-7634.896484375
151,-11035.0400390625
152,-10140.0576171875
153,-10420.1240234375
154,-13955.30859375
155,-16664.234375
156,-20564.888671875
157,-21794.46875
158,-25684.26171875
159,-11110.580078125
160,-5088.57763671875
161,-11477.4892578125
162,-7581.75732421875
163,-6348.00146484375
164,-4730.62109375
165,-2319.3232421875
166,-3298.51416015625
167,-3745.8837890625
168,-3016.38134765625
169,-3425.7080078125
170,-3872.663330078125
171,-2955.68359375
172,-3088.942138671875
173,-2520.240478515625
174,-4032.309814453125
175,-2706.2216796875
176,-4652.87548828125
177,-4648.81982421875
178,-4877.8994140625
179,-5616.8056640625
180,-3845.003173828125
181,-11332.4794921875
182,-33931.46875
183,-36170.77734375
184,-10434.166015625
185,-5611.05224609375
186,-6097.740234375
187,-3846.9267578125
188,-4554.2919921875
189,-2499.4814453125
190,-4775.2978515625
191,-4797.7841796875
192,-2949.71240234375
193,-3632.5556640625
194,-2306.570068359375
195,-3544.5830078125
196,-3190.876953125
197,-3857.16796875
198,-5149.72216796875
199,-4305.6875
200,-4560.82958984375
201,-3858.47216796875
202,-3985.90478515625
203,-3818.8056640625
204,-3609.052978515625
205,-6204.56884765625
206,-4551.06982421875
207,-5224.5947265625
208,-3852.39990234375
209,-5469.685546875
210,-2504.348876953125
211,-3511.211669921875
212,-4592.91650390625
213,-3765.19677734375
214,-3500.82763671875
215,-3674.2705078125
216,-4311.64794921875
217,-3380.302490234375
218,-4682.79150390625
219,-4120.20068359375
220,-4787.11376953125
221,-3070.708740234375
222,-3637.397705078125
223,-4275.3134765625
224,-3871.278564453125
225,-4305.134765625
226,-3744.735107421875
227,-3751.820556640625
228,-2801.591552734375
229,-2968.848876953125
230,-4066.52099609375
231,-2673.945556640625
232,-2517.60009765625
233,-5881.60546875
234,-4410.08203125
235,-2320.098388671875
236,-4318.62060546875
237,-3533.692626953125
238,-4629.2626953125
239,-4333.55029296875
240,-4175.921875
241,-5579.44189453125
242,-5408.0185546875
243,-4104.98046875
244,-3297.67919921875
245,-6330.341796875
246,-3799.491943359375
247,-6046.125
248,-4226.3984375
249,-3032.48486328125
250,-6297.873046875
251,-3588.568603515625
252,-2783.873779296875
253,-10215.8359375
254,-9914.828125
255,-16922.751953125
256,-39200.0
257,-45010.828125
258,-49682.078125
259,-48814.2734375
260,-48637.8671875
261,-51765.89453125
262,-47601.9921875
263,-50124.3046875
264,-48069.56640625
265,-49501.08203125
266,-49518.2890625
267,-49622.79296875
268,-50376.73046875
269,-50816.890625
270,-51607.81640625
271,-52612.58203125
272,-48318.91015625
273,-53107.09765625
274,-50164.34375
275,-52195.1484375
276,-51231.359375
277,-49782.27734375
278,-51205.12109375
279,-48421.37890625
280,-49546.53515625
281,-49231.87890625
282,-52375.3671875
283,-53420.34375
284,-49773.9296875
285,-51381.08203125
286,-51604.16796875
287,-51933.53125
288,-49614.50390625
289,-51561.03125
290,-52197.515625
291,-49190.1015625
292,-48683.18359375
293,-50035.21484375
294,-50107.12890625
295,-51939.7265625
296,-52885.66015625
297,-45676.49609375
298,-52276.9375
299,-49227.3671875
300,-52476.73828125
301,-52272.45703125
302,-52566.546875
303,-50744.0703125
304,-54171.75
305,-48985.19921875
306,-53962.625
307,-50712.46875
308,-53323.4375
309,-56577.578125
310,-53178.03125
311,-49939.65625
312,-52306.33984375
313,-52558.765625
314,-50082.21484375
315,-49950.39453125
316,-51988.02734375
317,-50238.97265625
318,-50910.9765625
319,-51616.41796875
320,-52928.55859375
321,-53922.7578125
322,-51813.15625
323,-52151.703125
324,-50020.6328125
325,-52894.796875
326,-53154.625
327,-51937.01171875
328,-54124.87890625
329,-50214.82421875
330,-48444.4765625
331,-49627.38671875
332,-49863.04296875
333,-49797.9375
334,-51129.48046875
335,-50815.95703125
336,-49433.7734375
337,-53195.9140625
338,-48793.375
339,-50416.609375
340,-49242.23828125
341,-50846.5
342,-50689.57421875
343,-53445.6875
344,-49330.40234375
345,-51278.14453125
346,-50313.203125
347,-52541.0078125
348,-50308.45703125
349,-52065.68359375
350,-48430.54296875
351,-50745.546875
352,-49285.375
353,-52392.80078125
354,-47747.05859375
355,-52362.63671875
356,-49389.7265625
357,-51538.0078125
358,-51340.19140625
359,-49346.34375
360,-52717.52734375
361,-51277.70703125
362,-54007.90234375
363,-50363.05078125
364,-50865.25390625
365,-53986.97265625
366,-51258.35546875
367,-50398.08203125
368,-52928.95703125
369,-50211.45703125
