,agent/actor_loss
101,1.2266573905944824
102,0.44235754013061523
103,0.004600409418344498
104,-0.05676654353737831
105,0.03447975590825081
106,0.11629243940114975
107,0.16604024171829224
108,0.23654693365097046
109,0.18638969957828522
110,0.22510790824890137
111,0.1518070250749588
112,0.2628531754016876
113,0.22388802468776703
114,0.22490553557872772
115,0.23949378728866577
116,0.2054266333580017
117,0.17870056629180908
118,0.1901671141386032
119,0.22154361009597778
120,0.2223256379365921
121,0.2374374121427536
122,0.3975238502025604
123,0.22374416887760162
124,0.34933018684387207
125,0.3480086624622345
126,0.2772594690322876
127,0.31890058517456055
128,0.32250747084617615
129,0.4059363603591919
130,0.2304454892873764
131,0.1214318498969078
132,0.2937074303627014
133,0.3830432891845703
134,0.38630399107933044
135,0.19408290088176727
136,0.24197761714458466
137,0.3703230917453766
138,0.33981776237487793
139,0.17475499212741852
140,0.29209408164024353
141,0.2028418779373169
142,0.19691497087478638
143,0.24180154502391815
144,0.31863924860954285
145,0.18608476221561432
146,0.28446099162101746
147,0.2990472614765167
148,0.28436174988746643
149,0.31856217980384827
150,0.35711559653282166
151,0.26347240805625916
152,0.18109971284866333
153,0.25514495372772217
154,0.27069520950317383
155,0.3171260952949524
156,0.3579634428024292
157,0.5163087844848633
158,0.30955666303634644
159,0.19766245782375336
160,0.1926269382238388
161,0.2174392193555832
162,0.4150405824184418
163,0.1990259885787964
164,0.43885791301727295
165,0.34795451164245605
166,0.33525872230529785
167,0.21319293975830078
168,0.3671639859676361
169,0.34011515974998474
170,0.22329355776309967
171,0.3628346920013428
172,0.32651159167289734
173,0.3812556564807892
174,0.4491387605667114
175,0.40313947200775146
176,0.3038669526576996
177,0.2426842451095581
178,0.1360563039779663
179,0.36550936102867126
180,0.3282967507839203
181,0.2239062339067459
182,0.35281383991241455
183,0.12640811502933502
184,0.2990148365497589
185,0.23273710906505585
186,0.49968600273132324
187,0.16701559722423553
188,0.2864108383655548
189,0.18108443915843964
190,0.23417048156261444
191,0.23765887320041656
192,0.4072905480861664
193,0.23466916382312775
194,0.4674414396286011
195,0.17916153371334076
196,0.21495430171489716
197,0.1134052500128746
198,0.31104013323783875
199,0.11200302839279175
200,0.17404679954051971
201,0.18432258069515228
202,0.2445218414068222
203,0.2606840431690216
204,0.18768592178821564
205,0.34596362709999084
206,0.24257701635360718
207,0.29455116391181946
208,0.19820623099803925
209,0.2072296142578125
210,0.35284268856048584
211,0.28509852290153503
212,0.2048823982477188
213,0.2628253996372223
214,0.4769827425479889
215,0.2602804899215698
216,0.3375518321990967
217,0.3138739764690399
218,0.1921675056219101
219,0.2555753290653229
220,0.31517651677131653
221,0.4354049265384674
222,0.24486057460308075
223,0.2944234311580658
224,0.2886802852153778
225,0.30156853795051575
226,0.49921727180480957
227,0.38687121868133545
228,0.394436240196228
229,0.46192237734794617
230,0.3004997968673706
231,0.2158082276582718
232,0.4203822910785675
233,0.4357541501522064
234,0.2765304446220398
235,0.3694429099559784
236,0.3201124668121338
237,0.26792049407958984
238,0.47320452332496643
239,0.5125535130500793
240,0.22397319972515106
241,0.2581765651702881
242,0.2808174192905426
243,0.3851231336593628
244,0.2900342643260956
245,0.3747025430202484
246,0.5743265151977539
247,0.15062987804412842
248,0.25693392753601074
249,0.2706703245639801
250,0.17183323204517365
251,0.40459728240966797
252,0.4142800271511078
253,0.17057304084300995
254,0.34437891840934753
255,0.37922313809394836
256,0.16142399609088898
257,0.4364645481109619
258,0.47638705372810364
259,0.4848462641239166
260,0.23480206727981567
261,0.2591141164302826
262,0.337048202753067
263,0.5537410378456116
264,0.3778240382671356
265,0.45264124870300293
266,0.19185352325439453
267,0.3790627419948578
268,0.057004231959581375
269,0.4210587441921234
270,0.24591408669948578
271,0.45204150676727295
272,0.3391458988189697
273,0.09691289067268372
274,0.3591410219669342
275,0.42965564131736755
276,0.509955883026123
277,0.33505484461784363
278,0.5586817860603333
279,0.5615703463554382
280,0.4480203688144684
281,0.38446226716041565
282,0.5100982189178467
283,0.49574780464172363
284,0.36365532875061035
285,0.2720048427581787
286,0.2968345582485199
287,0.7270250916481018
288,0.32848572731018066
289,0.4159459173679352
290,0.7177450656890869
291,0.5309475064277649
292,0.5253285765647888
293,0.5249306559562683
294,0.5694284439086914
295,0.6549766659736633
296,0.6202945709228516
297,0.543057382106781
298,0.5999440550804138
299,0.6449998021125793
300,0.41246816515922546
301,0.35818853974342346
302,0.633428692817688
303,0.7519561648368835
304,0.49346327781677246
305,0.5432038903236389
306,0.7253098487854004
307,0.32307884097099304
308,0.6900504231452942
309,0.5389807224273682
310,0.5381086468696594
311,0.8463672995567322
312,0.3865748345851898
313,0.6430712938308716
314,0.509846568107605
315,0.6512259244918823
316,0.825905978679657
317,0.7399258017539978
318,0.7185013890266418
319,0.5705820322036743
