,agent/total_reward
1,-4424.36474609375
2,-4215.33740234375
3,-3004.651123046875
4,-3911.0263671875
5,-3469.98388671875
6,-3388.80859375
7,-3354.923583984375
8,-3449.804931640625
9,-3441.614013671875
10,-2614.822021484375
11,-2782.76806640625
12,-2428.0830078125
13,-4760.9189453125
14,-3610.830810546875
15,-5482.966796875
16,-3583.05517578125
17,-2204.41064453125
18,-3107.6767578125
19,-3448.692626953125
20,-4646.6318359375
21,-4488.43212890625
22,-4676.123046875
23,-3269.61865234375
24,-2626.866455078125
25,-5213.11279296875
26,-4448.49365234375
27,-3637.5908203125
28,-2627.141357421875
29,-4456.88134765625
30,-3161.710205078125
31,-3160.956787109375
32,-5363.83984375
33,-3011.789306640625
34,-4757.361328125
35,-4707.7646484375
36,-3806.3759765625
37,-5201.46630859375
38,-2765.375244140625
39,-2785.8310546875
40,-3123.9111328125
41,-6013.23095703125
42,-4934.71923828125
43,-3618.807861328125
44,-4123.482421875
45,-3188.169677734375
46,-3426.01708984375
47,-3508.420166015625
48,-2878.77392578125
49,-4008.48193359375
50,-3471.70947265625
51,-4180.21044921875
52,-2245.949462890625
53,-3695.034423828125
54,-3441.2353515625
55,-3359.486328125
56,-3495.73095703125
57,-3174.12060546875
58,-3282.99853515625
59,-5485.58154296875
60,-3727.3134765625
61,-2837.484375
62,-4540.86669921875
63,-3810.114013671875
64,-2568.9833984375
65,-3522.160400390625
66,-2223.288330078125
67,-5401.1953125
68,-5010.77734375
69,-3162.19775390625
70,-5059.66015625
71,-2508.9853515625
72,-3159.426513671875
73,-4353.14453125
74,-3108.998291015625
75,-3106.24267578125
76,-3669.58203125
77,-2922.55712890625
78,-3796.5185546875
79,-3255.099609375
80,-3289.6494140625
81,-4860.74169921875
82,-5430.9052734375
83,-4929.36083984375
84,-3902.23974609375
85,-4293.236328125
86,-2324.90380859375
87,-4037.875
88,-4203.83056640625
89,-2916.822021484375
90,-3790.581787109375
91,-4335.61328125
92,-3282.62060546875
93,-2816.219482421875
94,-2582.46875
95,-4530.59423828125
96,-2538.71142578125
97,-3872.103515625
98,-2376.593017578125
99,-6294.8212890625
100,-3046.409912109375
101,-5082.3662109375
102,-6936.685546875
103,-10119.3720703125
104,-11121.513671875
105,-13678.00390625
106,-6708.79150390625
107,-25499.404296875
108,-21744.80078125
109,-15877.0634765625
110,-23118.83984375
111,-10830.0146484375
112,-6108.25634765625
113,-10824.0341796875
114,-10162.8330078125
115,-4465.32275390625
116,-3318.406494140625
117,-4870.72607421875
118,-6964.1142578125
119,-3775.96484375
120,-3001.2431640625
121,-4543.94189453125
122,-2920.328125
123,-4670.9580078125
124,-2739.886474609375
125,-2735.9306640625
126,-3908.325439453125
127,-3568.2900390625
128,-2556.829345703125
129,-2258.20703125
130,-4601.958984375
131,-4172.052734375
132,-2492.525146484375
133,-3987.774169921875
134,-4012.415283203125
135,-4057.934326171875
136,-3209.730712890625
137,-4815.5263671875
138,-4890.8017578125
139,-3365.841064453125
140,-3447.39501953125
141,-3911.010986328125
142,-3067.421142578125
143,-3926.19677734375
144,-6562.85400390625
145,-3161.144287109375
146,-4349.861328125
147,-3905.7392578125
148,-4581.052734375
149,-3607.132568359375
150,-2844.58740234375
151,-3220.172607421875
152,-2919.96337890625
153,-5192.31005859375
154,-3676.731689453125
155,-3196.221435546875
156,-4470.8125
157,-4440.36083984375
158,-2598.62744140625
159,-3022.27392578125
160,-1845.96484375
161,-3890.318359375
162,-2553.866455078125
163,-3271.576904296875
164,-4312.76904296875
165,-2313.923828125
166,-2922.74609375
167,-2870.83837890625
168,-3137.981201171875
169,-3535.68212890625
170,-3884.826904296875
171,-3584.05224609375
172,-2181.533935546875
173,-3044.549072265625
