,agent/critic_loss
101,0.017956413328647614
102,2.9039266109466553
103,0.13359196484088898
104,0.032196346670389175
105,0.07130549848079681
106,0.046814341098070145
107,0.018428625538945198
108,0.020166441798210144
109,0.03561237454414368
110,0.035431306809186935
111,0.029083793982863426
112,0.03371046110987663
113,0.05758397653698921
114,0.01755291223526001
115,0.014493276365101337
116,0.026113634929060936
117,0.0301124956458807
118,0.024202853441238403
119,0.020321572199463844
120,0.02289225347340107
121,0.022337352856993675
122,0.01377161592245102
123,0.024329042062163353
124,0.021545996889472008
125,0.018219443038105965
126,0.025123313069343567
127,0.02633710764348507
128,0.008600936271250248
129,0.02353661321103573
130,0.016726428642868996
131,0.022868581116199493
132,0.01416308805346489
133,0.01048307865858078
134,0.02983040176331997
135,0.010585387237370014
136,0.0110497260466218
137,0.01595824398100376
138,0.006269546691328287
139,0.020955311134457588
140,0.007999403402209282
141,0.006700280588120222
142,0.009912099689245224
143,0.021995263174176216
144,0.018520615994930267
145,0.014678451232612133
146,0.02493593655526638
147,0.022759506478905678
148,0.02701473981142044
149,0.007508693262934685
150,0.030450662598013878
151,0.024523520842194557
152,0.03127734735608101
153,0.05400252342224121
154,0.04738771915435791
155,0.04307904839515686
156,0.04012412577867508
157,0.0434616394340992
158,0.03403392806649208
159,0.03854749724268913
160,0.03470234572887421
161,0.018083540722727776
162,0.032776039093732834
163,0.0322992205619812
164,0.03156300261616707
165,0.04389386251568794
166,0.06099137291312218
167,0.0311600212007761
168,0.026616377755999565
169,0.03724149987101555
170,0.044438738375902176
171,0.020357651636004448
172,0.01722574047744274
173,0.026330074295401573
174,0.01797848753631115
175,0.029898226261138916
176,0.02532367967069149
177,0.011811762116849422
178,0.01144352089613676
179,0.036066919565200806
180,0.018655188381671906
181,0.03004615008831024
182,0.01403595507144928
183,0.01233487669378519
184,0.018992921337485313
185,0.014598969370126724
186,0.030196072533726692
187,0.018301300704479218
188,0.005007848143577576
189,0.05275827646255493
190,0.009096416644752026
191,0.023649806156754494
192,0.023508286103606224
193,0.03565753623843193
194,0.0552225299179554
195,0.03433482348918915
196,0.04796023294329643
197,0.01412703562527895
198,0.03636418655514717
199,0.022350555285811424
200,0.020224830135703087
201,0.03949267044663429
202,0.02868594229221344
203,0.03726881369948387
204,0.008936685509979725
205,0.008934255689382553
206,0.0441490113735199
207,0.027679944410920143
208,0.02653202973306179
209,0.010202924720942974
210,0.017404301092028618
211,0.03565482795238495
212,0.006192438304424286
213,0.01966319978237152
214,0.014227047562599182
215,0.010351254604756832
216,0.01250437367707491
217,0.005962243303656578
218,0.00997716560959816
219,0.029706371948122978
220,0.011838766746222973
221,0.008097156882286072
222,0.03204689174890518
223,0.007991466671228409
224,0.01612178236246109
225,0.006863196846097708
226,0.007169200573116541
227,0.00548180378973484
228,0.04626059904694557
229,0.01001068763434887
230,0.009653648361563683
231,0.016525425016880035
232,0.0353885255753994
233,0.0196246188133955
234,0.043002739548683167
235,0.01350898016244173
236,0.03701974079012871
237,0.02969055436551571
238,0.029860980808734894
239,0.023844311013817787
240,0.011389265768229961
241,0.022017264738678932
242,0.025219282135367393
243,0.008457943797111511
244,0.01864037476480007
245,0.018568145111203194
246,0.010103553533554077
247,0.02315918169915676
248,0.011398691684007645
249,0.006417432334274054
250,0.019676363095641136
251,0.026193374767899513
252,0.033591192215681076
253,0.03738865628838539
254,0.01635703071951866
255,0.02090355195105076
256,0.015142127871513367
257,0.024091700091958046
258,0.020019764080643654
259,0.014965188689529896
260,0.019927842542529106
261,0.007972626946866512
262,0.01804882474243641
263,0.034754086285829544
264,0.01772593893110752
265,0.030059093609452248
266,0.02767915464937687
267,0.005319116171449423
268,0.01259796041995287
269,0.007590788882225752
270,0.03215843811631203
271,0.021758845075964928
272,0.023126676678657532
273,0.022754007950425148
274,0.028051579371094704
275,0.017737269401550293
276,0.024144986644387245
277,0.023946503177285194
278,0.01261697057634592
279,0.010587822645902634
280,0.009484454058110714
281,0.01747029460966587
282,0.014093230478465557
283,0.011257459409534931
284,0.013698931783437729
285,0.003589675994589925
286,0.015552113763988018
287,0.025346064940094948
288,0.012430763803422451
289,0.018105074763298035
290,0.010882222093641758
291,0.020094076171517372
292,0.038010455667972565
293,0.011673402041196823
294,0.01875525340437889
295,0.018161769956350327
296,0.013017247430980206
297,0.006650330498814583
298,0.017831386998295784
299,0.016851721331477165
300,0.01428441982716322
301,0.00504644401371479
302,0.0044520203955471516
303,0.0033231156412512064
304,0.02679419331252575
305,0.008366487920284271
306,0.014101680368185043
307,0.012653954327106476
308,0.0034734851215034723
309,0.0032841702923178673
310,0.015889210626482964
311,0.006980476435273886
312,0.012893657200038433
313,0.012902484275400639
314,0.008804733864963055
315,0.007039964664727449
316,0.0029519423842430115
317,0.013653113506734371
318,0.011011633090674877
319,0.0266252513974905
320,0.016951575875282288
321,0.01791274920105934
322,0.010313320904970169
323,0.024514051154255867
324,0.007572428788989782
325,0.008179683238267899
326,0.006697411183267832
327,0.0151717783883214
328,0.014833415858447552
329,0.01782963238656521
330,0.009905769489705563
331,0.012340781278908253
332,0.02743932045996189
333,0.006008355412632227
334,0.0156741663813591
335,0.00372499437071383
336,0.009389990009367466
337,0.00827436801046133
338,0.010299235582351685
339,0.02433646284043789
340,0.009489196352660656
341,0.01430318970233202
342,0.009251329116523266
343,0.019689718261361122
344,0.012355044484138489
345,0.011447422206401825
346,0.01319561991840601
347,0.004451535176485777
348,0.010090493597090244
349,0.014192496426403522
350,0.008652656339108944
351,0.013289578258991241
352,0.005768436938524246
353,0.018433082848787308
354,0.020720427855849266
355,0.013661288656294346
356,0.009099654853343964
357,0.0060694217681884766
358,0.01611003838479519
359,0.0034425838384777308
360,0.011732161976397038
361,0.006018714513629675
362,0.025675810873508453
363,0.022963715717196465
364,0.0051216986030340195
365,0.024553760886192322
366,0.013053727336227894
367,0.021304776892066002
368,0.009516513906419277
369,0.007280209567397833
370,0.00313256005756557
371,0.008829448372125626
372,0.007672328967601061
373,0.007659098599106073
374,0.003424989990890026
375,0.007739855442196131
376,0.023968523368239403
377,0.0048920996487140656
378,0.0035671337973326445
379,0.012798468582332134
380,0.013269287534058094
381,0.009965176694095135
382,0.008543655276298523
383,0.011605742387473583
384,0.002630668692290783
385,0.016459936276078224
386,0.004585085902363062
387,0.0031852114479988813
388,0.003111525671556592
389,0.002689473330974579
390,0.015844926238059998
391,0.003668250748887658
392,0.0044461688958108425
393,0.010462049394845963
394,0.004630670417100191
395,0.013821497559547424
396,0.010669651441276073
397,0.007895764894783497
398,0.005452208686619997
399,0.018327757716178894
400,0.002553502796217799
401,0.003569604130461812
402,0.013998354785144329
403,0.00891286414116621
404,0.007632510270923376
405,0.008670803159475327
406,0.004164240323007107
407,0.02015942521393299
408,0.007290078327059746
409,0.011481307446956635
410,0.009128091856837273
411,0.010983817279338837
412,0.008651338517665863
413,0.0073188054375350475
414,0.007476092781871557
415,0.017905917018651962
416,0.008503447286784649
417,0.0027201492339372635
418,0.016388675197958946
419,0.010735110379755497
420,0.003069888101890683
421,0.005517870187759399
422,0.0030532313976436853
423,0.006005637813359499
424,0.0058613121509552
425,0.026944050565361977
426,0.004123652819544077
427,0.00419648690149188
428,0.00402407580986619
429,0.0037020298186689615
430,0.005124610383063555
431,0.00481963949277997
432,0.013721249997615814
433,0.015621517784893513
434,0.007499944418668747
435,0.01297425851225853
436,0.005685869604349136
437,0.004192595835775137
438,0.011313695460557938
439,0.01482506562024355
440,0.009286385960876942
441,0.013303075917065144
442,0.0037781272549182177
443,0.011566038243472576
444,0.0205974243581295
