,agent/total_reward
1,-2540.787109375
2,-2826.497314453125
3,-3986.8955078125
4,-5050.87744140625
5,-3060.916748046875
6,-2907.12109375
7,-5898.72998046875
8,-3435.457763671875
9,-4911.20703125
10,-3075.884033203125
11,-3529.71435546875
12,-2408.79052734375
13,-2772.475830078125
14,-3125.3408203125
15,-3654.393798828125
16,-5686.73193359375
17,-3576.615234375
18,-5795.2177734375
19,-2829.583740234375
20,-5754.50634765625
21,-2376.435302734375
22,-3229.227294921875
23,-3306.86572265625
24,-3739.26953125
25,-2901.311279296875
26,-3526.172607421875
27,-3725.0859375
28,-3078.74951171875
29,-6123.17333984375
30,-4613.58251953125
31,-2474.308349609375
32,-4900.92626953125
33,-3044.6630859375
34,-3483.479736328125
35,-3507.72509765625
36,-4524.03759765625
37,-4451.14501953125
38,-4729.6923828125
39,-6366.73876953125
40,-4379.40478515625
41,-5300.74853515625
42,-2486.04052734375
43,-4305.80078125
44,-2317.441650390625
45,-3935.60107421875
46,-5260.251953125
47,-2614.9921875
48,-3152.28173828125
49,-5466.58203125
50,-5725.36328125
51,-2575.5283203125
52,-3096.718505859375
53,-5118.51318359375
54,-4425.08349609375
55,-5476.5068359375
56,-4674.77099609375
57,-3310.450439453125
58,-3719.842041015625
59,-2705.021240234375
60,-2244.48291015625
61,-3761.41015625
62,-3526.9873046875
63,-3360.42333984375
64,-4418.5224609375
65,-4241.1171875
66,-2568.23193359375
67,-4871.7041015625
68,-4269.05126953125
69,-3084.4912109375
70,-4162.90966796875
71,-3068.23095703125
72,-3154.759765625
73,-3580.939208984375
74,-4188.86669921875
75,-2957.510009765625
76,-5856.65185546875
77,-4813.7001953125
78,-3982.575439453125
79,-6581.822265625
80,-2384.571044921875
81,-3323.6064453125
82,-2567.392822265625
83,-4608.31396484375
84,-4232.97216796875
85,-2556.778564453125
86,-5275.67041015625
87,-4047.6533203125
88,-3748.2763671875
89,-2342.15673828125
90,-4613.658203125
91,-3514.64013671875
92,-2495.67138671875
93,-3720.508056640625
94,-4755.72509765625
95,-3698.643310546875
96,-3081.13427734375
97,-3878.027099609375
98,-4225.880859375
99,-4858.03271484375
100,-3442.610107421875
101,-4818.55078125
102,-16078.2392578125
103,-13561.5341796875
104,-15316.3828125
105,-4141.32470703125
106,-9157.6552734375
107,-22813.748046875
108,-11213.9619140625
109,-38460.18359375
110,-43183.42578125
111,-16464.662109375
112,-47485.49609375
113,-49164.7890625
114,-51177.3515625
115,-51548.84765625
116,-47413.8359375
117,-46945.20703125
118,-47985.53125
119,-49063.80859375
120,-48930.7265625
121,-49235.1640625
122,-52804.625
123,-52011.46484375
124,-47492.640625
125,-47662.70703125
126,-52300.390625
127,-51556.0
128,-54064.8203125
129,-47418.984375
130,-49649.75
131,-53146.01171875
132,-49494.796875
133,-50713.34375
134,-48711.359375
135,-50114.93359375
136,-54822.50390625
137,-50628.8515625
138,-48677.67578125
139,-52791.84375
140,-49838.32421875
141,-51844.6875
142,-50280.9375
143,-48789.00390625
144,-48126.4609375
145,-12728.345703125
146,-50787.99609375
147,-12714.7822265625
148,-44929.38671875
149,-46528.1796875
150,-47654.87109375
151,-50876.5546875
152,-50527.140625
153,-47727.171875
154,-49338.66796875
155,-48022.16796875
156,-50740.375
157,-48521.28125
158,-49935.3203125
159,-7076.49609375
160,-51123.30859375
161,-48980.27734375
162,-52362.12109375
163,-47623.734375
164,-4932.89306640625
165,-6480.7333984375
166,-5409.8505859375
167,-5770.99951171875
168,-4564.13427734375
169,-52115.9765625
170,-4028.625
171,-48094.6796875
172,-4732.27001953125
173,-47440.05078125
174,-49408.984375
175,-48563.796875
176,-52840.43359375
177,-4744.00634765625
178,-48061.3203125
179,-50662.7109375
180,-47907.0859375
181,-50805.66796875
182,-48265.890625
183,-51913.06640625
184,-46651.51171875
185,-49008.9765625
186,-48225.16796875
187,-5264.45849609375
188,-49370.37890625
189,-4090.6103515625
190,-48081.22265625
191,-48607.890625
192,-2997.78271484375
193,-49246.8515625
194,-4568.328125
195,-4828.52490234375
196,-48148.4140625
197,-4393.18896484375
198,-4331.982421875
199,-3453.618408203125
200,-4373.25634765625
201,-47457.16796875
202,-41956.8203125
203,-49678.1640625
204,-3914.24755859375
205,-5450.46435546875
206,-6050.58447265625
207,-5920.181640625
208,-3206.950927734375
209,-2991.214111328125
210,-3422.41455078125
211,-6793.25634765625
212,-2704.06396484375
213,-3207.484130859375
214,-3273.067626953125
215,-3051.77099609375
216,-4682.11328125
217,-3003.040283203125
218,-2724.41259765625
219,-4395.52099609375
220,-48982.91015625
221,-3566.974853515625
222,-2544.26025390625
223,-4087.887939453125
224,-2619.831787109375
225,-3237.283935546875
226,-3912.047119140625
227,-5601.3515625
228,-4995.19677734375
229,-3248.847412109375
230,-4479.11865234375
231,-18778.0390625
232,-4354.48046875
233,-36242.234375
234,-35236.86328125
235,-3176.7421875
236,-4300.56640625
237,-2973.5
238,-50868.390625
239,-2531.29638671875
240,-2951.1376953125
241,-33446.12109375
242,-3507.693359375
243,-6785.17529296875
244,-38454.5625
245,-2393.221435546875
246,-5975.0029296875
247,-44053.1953125
248,-4241.23291015625
249,-51349.90625
250,-2962.2021484375
251,-47308.90625
252,-10320.9267578125
253,-4459.83935546875
254,-50731.30859375
255,-45559.2734375
256,-3765.665771484375
257,-6663.29931640625
258,-3032.7568359375
259,-43817.42578125
260,-3220.987060546875
261,-40735.76953125
262,-5362.0078125
263,-8689.1650390625
264,-28634.333984375
265,-23052.748046875
266,-20846.650390625
267,-4570.123046875
268,-48735.72265625
