,agent/total_reward
1,-3898.619140625
2,-3494.924560546875
3,-3791.803466796875
4,-3098.0078125
5,-4800.8525390625
6,-4113.15283203125
7,-2980.6005859375
8,-4056.1142578125
9,-3144.6484375
10,-3520.770751953125
11,-4824.81787109375
12,-4541.90185546875
13,-3009.438232421875
14,-2893.50244140625
15,-4229.31005859375
16,-3682.95361328125
17,-6678.2236328125
18,-2571.3076171875
19,-3341.595703125
20,-3543.476806640625
21,-2818.2919921875
22,-4271.5966796875
23,-3659.759033203125
24,-3200.475341796875
25,-3714.566162109375
26,-2769.73876953125
27,-2735.721435546875
28,-3603.6142578125
29,-2785.01806640625
30,-2686.15380859375
31,-4034.250732421875
32,-3252.2958984375
33,-3297.687255859375
34,-2977.272216796875
35,-2810.33056640625
36,-3699.225830078125
37,-2766.812744140625
38,-3438.206787109375
39,-3899.466064453125
40,-3212.1650390625
41,-3130.739990234375
42,-3118.864990234375
43,-3226.092041015625
44,-2828.76904296875
45,-4938.36083984375
46,-3567.7294921875
47,-3194.892822265625
48,-2934.947265625
49,-3548.260009765625
50,-4009.76513671875
51,-5923.27880859375
52,-3682.610107421875
53,-2802.989501953125
54,-2726.69482421875
55,-3589.606689453125
56,-3263.19189453125
57,-4308.25732421875
58,-2927.97119140625
59,-3932.691650390625
60,-3591.796875
61,-2558.66064453125
62,-6316.50537109375
63,-3966.173583984375
64,-5274.64453125
65,-3846.95751953125
66,-4030.767822265625
67,-3623.2314453125
68,-3403.19189453125
69,-4267.93994140625
70,-6088.85888671875
71,-2587.27978515625
72,-5097.330078125
73,-3381.46728515625
74,-4372.55712890625
75,-3728.455078125
76,-5715.93896484375
77,-3647.905029296875
78,-2319.739990234375
79,-3280.14892578125
80,-2484.887451171875
81,-5319.4169921875
82,-2763.1796875
83,-2931.3544921875
84,-3770.673583984375
85,-4710.5869140625
86,-4915.7490234375
87,-4919.3095703125
88,-4314.98291015625
89,-3766.1201171875
90,-2419.626708984375
91,-3364.934814453125
92,-2809.1396484375
93,-3087.630859375
94,-3253.565673828125
95,-5320.68701171875
96,-3064.944580078125
97,-2430.41552734375
98,-4088.687255859375
99,-4410.0712890625
100,-3583.723388671875
101,-3298.164306640625
102,-5552.35205078125
103,-9895.5693359375
104,-12369.986328125
105,-15601.7412109375
106,-15817.3505859375
107,-16390.6171875
108,-23344.912109375
109,-31128.3984375
110,-37976.84375
111,-37198.203125
112,-26640.017578125
113,-11948.1103515625
114,-7257.5244140625
115,-5665.02001953125
116,-7181.94873046875
117,-5366.43359375
118,-5401.84765625
119,-4805.88916015625
120,-6455.79052734375
121,-2610.517333984375
122,-2654.716064453125
123,-3848.607666015625
124,-4526.94482421875
125,-3006.008056640625
126,-2886.885498046875
127,-3163.320556640625
128,-3112.633544921875
129,-2762.172119140625
130,-3023.5458984375
131,-4700.33203125
132,-5807.765625
133,-2751.20263671875
134,-3814.12939453125
135,-3908.73193359375
136,-3038.808349609375
137,-2742.0380859375
138,-2297.617919921875
139,-3698.6015625
140,-4568.39892578125
141,-3840.16796875
142,-2718.27197265625
143,-3299.308349609375
144,-3553.52197265625
145,-2812.424560546875
146,-4394.43359375
147,-4606.87890625
148,-4350.3974609375
149,-3292.840576171875
150,-3051.8154296875
151,-5070.474609375
152,-2737.255859375
153,-4983.8984375
154,-4959.90087890625
155,-3680.005859375
156,-5485.40087890625
157,-3182.037841796875
158,-1811.139892578125
159,-5926.1728515625
160,-6361.82861328125
161,-3313.06103515625
162,-3447.109619140625
163,-3612.49072265625
164,-3909.994140625
165,-3223.223876953125
166,-3126.376220703125
167,-3476.728515625
168,-5843.97705078125
169,-4140.71875
170,-3202.818359375
171,-5442.58544921875
172,-2576.236328125
173,-4500.42041015625
174,-3132.591064453125
175,-2474.758056640625
176,-3199.656982421875
177,-3323.048095703125
178,-3058.846435546875
179,-3049.52880859375
180,-4366.86181640625
181,-2684.991943359375
182,-2680.072509765625
183,-3117.672607421875
184,-4284.6826171875
185,-2580.778076171875
186,-2800.30908203125
187,-3314.26171875
188,-2933.95556640625
189,-2635.935791015625
190,-2928.038330078125
191,-2390.4453125
192,-4292.0009765625
193,-2153.76611328125
194,-3140.59326171875
195,-3190.84326171875
196,-2428.0029296875
197,-2447.07275390625
198,-2479.810546875
199,-2862.626220703125
200,-1955.9033203125
201,-2443.87890625
202,-2382.509033203125
203,-3678.654052734375
204,-2665.05224609375
205,-3943.766845703125
206,-2758.925537109375
207,-3307.59912109375
208,-3445.2529296875
209,-4776.3173828125
210,-2847.901123046875
211,-4851.20263671875
212,-2308.2529296875
213,-2667.3193359375
214,-4505.20703125
215,-1761.671630859375
216,-4219.42236328125
217,-2713.432861328125
218,-3786.91162109375
219,-4317.46484375
220,-3726.588134765625
221,-3184.708740234375
222,-3707.6689453125
223,-4499.02392578125
224,-2787.6220703125
225,-4170.982421875
226,-4561.94580078125
227,-2026.5533447265625
228,-4680.4775390625
229,-2714.520751953125
230,-2728.4384765625
231,-3048.27783203125
232,-3678.907958984375
233,-2818.927001953125
234,-3690.842529296875
235,-4836.88330078125
236,-3355.46142578125
237,-3523.758544921875
238,-3053.441650390625
239,-2769.083740234375
240,-4189.6865234375
241,-3498.056396484375
242,-6951.51513671875
243,-3744.1201171875
244,-4713.36376953125
245,-3291.67626953125
246,-2541.61376953125
247,-4986.6884765625
248,-4581.35107421875
249,-2978.919921875
250,-4872.95068359375
251,-2985.968505859375
252,-3079.260009765625
253,-3712.606689453125
254,-4497.2451171875
255,-5790.73974609375
256,-6082.30029296875
257,-4562.90966796875
258,-3826.7685546875
259,-4134.29443359375
260,-4541.94091796875
261,-5269.1181640625
262,-7101.96826171875
263,-8271.642578125
264,-10579.9580078125
265,-13468.640625
266,-14264.44921875
267,-14463.9501953125
268,-16848.123046875
269,-19750.615234375
270,-19774.42578125
271,-20306.34375
272,-21757.4921875
273,-23321.888671875
274,-24010.931640625
275,-23767.603515625
276,-23919.76171875
277,-27200.66796875
278,-34943.9453125
279,-43925.77734375
280,-42871.79296875
281,-46453.74609375
282,-46162.26953125
283,-47718.33984375
284,-41703.546875
285,-18292.275390625
286,-7655.08935546875
287,-3564.56591796875
288,-4151.71484375
289,-4774.291015625
290,-2376.08203125
291,-4213.16162109375
292,-2947.317138671875
293,-3380.86474609375
294,-3719.961669921875
295,-5218.630859375
296,-5840.2646484375
297,-4781.08544921875
298,-4404.07275390625
299,-7458.01318359375
300,-9348.109375
301,-11027.9365234375
302,-13334.2919921875
303,-15657.1884765625
304,-17910.076171875
305,-20721.13671875
306,-23241.767578125
307,-24975.49609375
308,-27569.521484375
309,-27242.8359375
310,-31741.048828125
311,-34681.5390625
312,-40581.79296875
313,-39840.35546875
314,-47431.7578125
315,-50407.0390625
316,-48115.0234375
317,-49978.6953125
318,-49245.4140625
319,-48598.4453125
320,-48809.4296875
321,-49441.9765625
322,-48307.96484375
323,-49663.46875
324,-48847.8828125
325,-50491.296875
326,-48058.31640625
327,-48475.01171875
328,-49466.02734375
329,-50671.8125
330,-48065.30859375
331,-50667.57421875
332,-50873.375
333,-49487.87890625
334,-48782.55859375
335,-48894.16015625
336,-50201.25
337,-47961.875
338,-49647.359375
339,-49744.328125
340,-48671.58203125
341,-48519.1796875
342,-50048.6328125
343,-48414.21875
344,-49020.921875
345,-49384.33203125
346,-49129.28125
347,-48865.9921875
348,-48971.515625
349,-46803.5390625
350,-49826.515625
351,-49727.65234375
352,-48581.171875
353,-46647.30078125
354,-45547.65234375
355,-39623.75390625
356,-33692.7109375
357,-30844.4140625
358,-28577.970703125
359,-26448.1640625
360,-24002.537109375
361,-23047.021484375
362,-21826.46484375
363,-17906.412109375
364,-15073.353515625
365,-12857.61328125
366,-6406.22900390625
367,-8518.4736328125
368,-3440.400634765625
369,-3481.123779296875
370,-4276.8955078125
371,-4431.74072265625
372,-2344.727783203125
373,-2126.107177734375
374,-2918.218017578125
375,-4581.5478515625
376,-4038.647216796875
377,-3353.35888671875
378,-2792.523681640625
379,-3778.5947265625
380,-4094.199462890625
381,-2736.6064453125
382,-2799.307861328125
383,-2129.758544921875
384,-2931.899169921875
385,-2790.879638671875
386,-4672.81884765625
387,-2929.522705078125
388,-2580.897216796875
389,-3608.96337890625
390,-3453.265380859375
391,-2949.941162109375
392,-3648.463623046875
393,-3270.96044921875
394,-3732.128173828125
395,-2483.59326171875
396,-3070.845703125
397,-3077.60009765625
398,-2595.18896484375
399,-3734.25830078125
400,-2489.875
401,-1810.3135986328125
402,-2528.269775390625
403,-2694.937744140625
404,-2405.048095703125
