,agent/total_reward
1,-2584.425048828125
2,-4832.11328125
3,-4408.8505859375
4,-3497.978759765625
5,-3991.183837890625
6,-2748.716796875
7,-3124.80517578125
8,-4200.98974609375
9,-5403.029296875
10,-3483.47900390625
11,-4488.48681640625
12,-5139.45703125
13,-4850.41748046875
14,-4433.6103515625
15,-4375.9208984375
16,-3515.958251953125
17,-5134.470703125
18,-4385.376953125
19,-4535.60205078125
20,-4675.82666015625
21,-4734.59228515625
22,-5348.06494140625
23,-3011.80810546875
24,-3192.6708984375
25,-3623.3857421875
26,-3301.419189453125
27,-3979.5537109375
28,-4413.97119140625
29,-3040.994873046875
30,-4413.75048828125
31,-4310.58154296875
32,-5422.138671875
33,-2828.07421875
34,-2619.548095703125
35,-3488.33837890625
36,-2881.111328125
37,-4686.7880859375
38,-4751.01953125
39,-5055.044921875
40,-3227.9921875
41,-4090.71728515625
42,-3914.31982421875
43,-5020.12060546875
44,-5229.0732421875
45,-3828.889404296875
46,-4193.19287109375
47,-3576.439208984375
48,-3241.845458984375
49,-2631.57177734375
50,-3980.857177734375
51,-4631.64892578125
52,-6539.44384765625
53,-5383.36328125
54,-3717.401123046875
55,-3142.039794921875
56,-4617.79248046875
57,-2371.818115234375
58,-4051.43701171875
59,-3661.337890625
60,-4687.00634765625
61,-3955.81689453125
62,-5755.07421875
63,-3966.193603515625
64,-3302.365966796875
65,-3157.492431640625
66,-4044.486328125
67,-3126.1259765625
68,-3438.912109375
69,-2527.3427734375
70,-6066.27978515625
71,-4852.6416015625
72,-4173.2939453125
73,-3573.717529296875
74,-4388.71337890625
75,-3284.076416015625
76,-4284.50244140625
77,-4783.29296875
78,-4696.24365234375
79,-2600.674072265625
80,-4784.04052734375
81,-3640.1455078125
82,-2866.898681640625
83,-3210.9775390625
84,-5130.7275390625
85,-3688.0693359375
86,-4523.94775390625
87,-2447.4013671875
88,-3659.959228515625
89,-4785.38671875
90,-5063.23779296875
91,-4410.73486328125
92,-6238.10009765625
93,-4747.17578125
94,-2753.15771484375
95,-4890.79833984375
96,-4012.260009765625
97,-4382.060546875
98,-5925.43896484375
99,-2097.81591796875
100,-3944.327392578125
101,-3672.23486328125
102,-12850.4404296875
103,-10759.8837890625
104,-3386.974365234375
105,-12107.3251953125
106,-16589.578125
107,-15252.7646484375
108,-16242.4072265625
109,-13841.0126953125
110,-18199.88671875
111,-38356.234375
112,-42936.0390625
113,-46660.02734375
114,-47092.359375
115,-46229.33203125
116,-45891.8671875
117,-46486.13671875
118,-47307.96484375
119,-48789.2109375
120,-49216.48046875
121,-43672.3515625
122,-43825.1328125
123,-45541.75390625
124,-36897.94921875
125,-45973.27734375
126,-43884.296875
127,-42690.1875
128,-31819.978515625
129,-41648.80078125
130,-27843.4921875
131,-27451.41796875
132,-10561.8525390625
133,-42299.3984375
134,-42536.87890625
135,-12912.80859375
136,-23581.494140625
137,-37895.90234375
138,-8724.2021484375
139,-10712.2734375
140,-4437.896484375
141,-2306.962890625
142,-5817.6025390625
143,-5440.994140625
144,-3902.96923828125
145,-4096.16162109375
146,-2863.82763671875
147,-3904.850341796875
148,-2111.84716796875
149,-2523.281982421875
150,-2857.833251953125
151,-2003.1031494140625
152,-4709.115234375
153,-2439.16455078125
154,-5080.673828125
155,-3170.690673828125
156,-3401.53173828125
157,-3423.481201171875
158,-2932.370361328125
159,-3839.115478515625
160,-4770.53662109375
161,-3323.443359375
162,-4582.94970703125
163,-2106.83349609375
164,-3259.066650390625
165,-2559.425048828125
166,-2709.68701171875
167,-2887.33837890625
168,-3096.34130859375
169,-3650.99365234375
170,-3591.06982421875
171,-3565.318359375
172,-3241.11181640625
173,-4341.05712890625
174,-4146.50341796875
175,-4690.7783203125
176,-4110.3359375
177,-4164.65771484375
178,-3211.806396484375
179,-2001.08056640625
180,-2054.24658203125
181,-3694.115966796875
182,-2832.399658203125
183,-3812.740234375
184,-3023.88037109375
185,-3795.666015625
186,-4169.1689453125
187,-3318.07177734375
188,-5250.0390625
189,-2753.805419921875
190,-4541.50341796875
191,-3811.673828125
192,-4958.36279296875
193,-4251.0498046875
194,-4661.67822265625
195,-2559.240234375
196,-3637.39697265625
197,-3215.553955078125
198,-5243.81591796875
199,-3721.599365234375
200,-4821.5361328125
201,-2676.767578125
202,-3072.0048828125
203,-3342.27880859375
204,-4996.27685546875
205,-2904.83056640625
206,-4103.86767578125
207,-4282.228515625
208,-3446.55078125
209,-3652.47705078125
210,-3991.147216796875
211,-4506.0849609375
212,-3371.407958984375
213,-3562.0419921875
214,-3288.1025390625
215,-3717.220947265625
216,-6012.724609375
217,-4523.59228515625
218,-2384.765869140625
219,-4214.54443359375
220,-4006.867919921875
221,-2113.770751953125
222,-4542.50244140625
223,-3689.971923828125
224,-3498.720703125
225,-3319.52685546875
226,-4753.0537109375
227,-3255.941162109375
228,-5497.24365234375
229,-3079.227783203125
230,-3017.0576171875
231,-3557.36767578125
232,-3547.099365234375
233,-3309.556396484375
234,-3138.524658203125
235,-4310.91748046875
236,-5492.859375
237,-6488.7841796875
238,-2707.769775390625
239,-5110.58056640625
240,-3537.56396484375
241,-3491.149169921875
242,-2915.276611328125
243,-10900.662109375
244,-31181.41015625
245,-38231.9296875
246,-35446.6796875
247,-39927.4921875
248,-42447.21484375
249,-42147.96875
250,-41066.1328125
251,-49524.4140625
252,-44542.74609375
253,-41326.75390625
254,-48809.66796875
255,-45284.65234375
256,-43492.21484375
257,-50918.34375
258,-41305.27734375
259,-47875.93359375
260,-45038.19921875
261,-33978.49609375
262,-47335.91796875
263,-45592.17578125
264,-33464.73046875
265,-30137.005859375
266,-40638.4375
267,-45934.4453125
268,-29575.341796875
269,-27694.26171875
270,-48960.984375
271,-27866.82421875
272,-38229.1875
273,-48561.890625
274,-28434.119140625
275,-29617.431640625
276,-48967.5390625
277,-42686.18359375
278,-36645.265625
279,-36166.87109375
280,-29859.19140625
281,-46846.6796875
282,-39422.921875
283,-39938.41015625
284,-38396.98046875
285,-31364.671875
286,-22609.462890625
287,-33458.890625
288,-44651.21875
289,-27535.3828125
290,-44242.16796875
291,-37418.94140625
292,-37203.1015625
293,-24549.205078125
294,-40242.3828125
295,-38294.55859375
296,-31565.94140625
297,-17109.96875
298,-44866.109375
299,-30100.888671875
300,-5221.82958984375
301,-44499.46484375
302,-45756.65234375
303,-35405.703125
304,-47369.015625
305,-37237.015625
