,agent/total_reward
1,-2580.214599609375
2,-2314.9599609375
3,-3303.473876953125
4,-8666.13671875
5,-8719.4560546875
6,-3561.529052734375
7,-7203.49755859375
8,-11421.50390625
9,-4068.4072265625
10,-2803.048095703125
11,-7884.4755859375
12,-7298.19091796875
13,-4201.19287109375
14,-5649.29638671875
15,-13446.1982421875
16,-2543.3349609375
17,-4701.3134765625
18,-6162.10498046875
19,-8364.7294921875
20,-3638.43994140625
21,-4829.56689453125
22,-4509.66650390625
23,-2866.2578125
24,-4921.5029296875
25,-3422.115966796875
26,-3282.215576171875
27,-3971.328369140625
28,-3696.154052734375
29,-2113.53759765625
30,-5065.806640625
31,-5540.6953125
32,-3440.371826171875
33,-3567.9052734375
34,-3556.546875
35,-3180.1826171875
36,-2729.47265625
37,-2483.961669921875
38,-3855.47802734375
39,-3086.327880859375
40,-3900.2294921875
41,-5823.64501953125
42,-3793.578125
43,-3343.450439453125
44,-4933.048828125
45,-5528.16064453125
46,-2804.50732421875
47,-7180.326171875
48,-5890.70458984375
49,-4046.77197265625
50,-3692.4970703125
51,-5294.58203125
52,-3295.356201171875
53,-2690.83544921875
54,-4118.04736328125
55,-4154.935546875
56,-5097.27294921875
57,-3023.543701171875
58,-3188.51611328125
59,-3699.01171875
60,-12790.1357421875
61,-4098.759765625
62,-3146.8349609375
63,-2203.553466796875
64,-3768.501708984375
65,-4905.322265625
66,-3405.179443359375
67,-5067.00341796875
68,-3289.06201171875
69,-4067.4345703125
70,-5342.974609375
71,-3468.454345703125
72,-3723.4775390625
73,-2530.4228515625
74,-2646.813720703125
75,-3025.141845703125
76,-3187.413330078125
77,-6422.67822265625
78,-4252.29345703125
79,-2629.835205078125
80,-3348.74951171875
81,-4784.91259765625
82,-3579.66015625
83,-3395.311767578125
84,-5578.51953125
85,-4353.5224609375
86,-4975.98486328125
87,-3423.167236328125
88,-2722.62060546875
89,-4493.181640625
90,-4299.1484375
91,-8017.66845703125
92,-2631.293701171875
93,-2542.74755859375
94,-6254.73681640625
95,-4559.22607421875
96,-11909.771484375
97,-4906.08837890625
98,-3489.769287109375
99,-4880.17578125
100,-3316.054931640625
101,-5774.68359375
102,-9686.2890625
103,-16594.0546875
104,-21794.427734375
105,-4252.1787109375
106,-45992.5234375
107,-34144.25390625
108,-14324.3623046875
109,-42069.41796875
110,-28039.4296875
111,-49796.83984375
112,-51924.8828125
113,-45379.0625
114,-43253.67578125
115,-31170.599609375
116,-47866.5078125
117,-50108.04296875
118,-48107.2421875
119,-47984.08984375
120,-47775.33203125
121,-48107.05078125
122,-48969.9609375
123,-48431.08984375
124,-48960.41015625
125,-40222.73046875
126,-13252.2978515625
127,-9896.6318359375
128,-47607.85546875
129,-5673.1279296875
130,-10064.607421875
131,-27190.765625
132,-17741.08984375
133,-3481.22314453125
134,-4327.640625
135,-4395.56982421875
136,-4826.8720703125
137,-3891.658935546875
138,-4547.76806640625
139,-3234.404541015625
140,-3851.123779296875
141,-4591.25244140625
142,-4635.02099609375
143,-5071.45654296875
144,-17139.0234375
145,-3951.03125
146,-5454.9423828125
147,-4626.25048828125
148,-44671.6640625
149,-4490.0400390625
150,-3174.941162109375
151,-2295.363525390625
152,-50444.203125
153,-2985.04833984375
154,-3276.91357421875
155,-2413.69189453125
156,-2809.916748046875
157,-4894.80322265625
158,-4986.26904296875
159,-4786.68115234375
160,-2518.163330078125
161,-51902.2265625
162,-2401.2900390625
163,-12627.953125
164,-3144.1572265625
165,-4568.2333984375
166,-3617.1455078125
167,-2587.97216796875
168,-2545.81298828125
169,-3208.76806640625
170,-2181.833740234375
171,-47750.1171875
172,-4225.6875
173,-1691.9547119140625
174,-2014.6038818359375
175,-3784.41015625
176,-2166.24755859375
177,-3350.382080078125
178,-3100.5712890625
179,-3832.032958984375
180,-2528.4326171875
181,-2458.607666015625
182,-3306.435791015625
183,-3572.42333984375
184,-3082.36083984375
185,-3262.6298828125
186,-2220.330078125
187,-7454.1435546875
188,-4381.921875
189,-4681.0810546875
190,-5192.9326171875
191,-36617.08203125
192,-48662.81640625
193,-5029.1162109375
194,-4325.259765625
195,-2788.79296875
196,-5146.1201171875
197,-44900.71484375
198,-50969.1015625
199,-2528.246826171875
200,-3672.872314453125
201,-3735.328857421875
202,-1999.408935546875
203,-48010.796875
204,-2698.675048828125
205,-2734.502685546875
206,-2667.41162109375
207,-49456.3125
208,-5075.9560546875
209,-3847.03466796875
210,-50681.96875
211,-2646.5546875
212,-2734.720458984375
213,-50490.59375
214,-48765.78125
215,-49203.421875
216,-48069.89453125
217,-49684.5859375
218,-49641.5625
219,-47899.7265625
220,-47854.30859375
221,-48298.4375
222,-47093.6484375
223,-2363.524658203125
224,-50023.16015625
225,-49986.0078125
226,-2652.363037109375
227,-48253.921875
228,-49070.421875
229,-48212.60546875
230,-51170.83203125
231,-49224.453125
232,-50418.40234375
233,-47983.9296875
234,-49819.4140625
235,-51024.8828125
236,-46563.84765625
237,-49277.56640625
238,-47300.15625
239,-49984.07421875
240,-51274.0390625
241,-51186.453125
242,-48693.88671875
243,-49390.5234375
244,-50436.77734375
245,-49986.83984375
246,-49472.9765625
247,-50678.44140625
248,-51078.55859375
249,-50533.12109375
250,-52397.12890625
251,-51062.6484375
252,-50690.515625
253,-50232.40234375
254,-49302.47265625
255,-52633.34765625
256,-48214.43359375
257,-48397.5703125
258,-49262.68359375
259,-52258.52734375
260,-52211.4921875
261,-47976.296875
262,-50750.90234375
263,-51744.015625
264,-50151.33984375
265,-52766.87890625
266,-48449.87109375
267,-51423.35546875
268,-48597.29296875
269,-49385.08203125
270,-52436.734375
271,-51848.76953125
272,-48714.04296875
273,-50106.92578125
274,-48953.265625
275,-50485.33984375
276,-53069.7578125
277,-49194.23046875
278,-47179.08203125
279,-50780.55859375
280,-50537.27734375
281,-50284.09375
282,-50703.7890625
283,-51231.2109375
284,-51625.33984375
285,-50852.328125
286,-51207.57421875
287,-48459.81640625
288,-50226.12109375
289,-49355.6640625
290,-50550.10546875
291,-50181.8515625
292,-47704.86328125
293,-49752.79296875
294,-51042.1640625
295,-52510.609375
296,-52051.09375
297,-48898.7890625
298,-49560.44140625
299,-49612.421875
300,-50044.5859375
301,-48726.25390625
302,-53633.6171875
303,-48029.2734375
304,-50254.85546875
305,-50188.390625
306,-49348.03125
307,-47892.703125
308,-51724.6875
309,-50121.5
310,-50433.3671875
311,-49771.5234375
312,-49437.86328125
313,-50944.79296875
314,-49992.34375
315,-48721.2734375
316,-50437.0078125
317,-49396.80078125
318,-54816.046875
319,-51282.40234375
320,-49475.359375
321,-50140.23046875
322,-50431.4921875
323,-50304.3125
324,-50589.69140625
325,-50391.65234375
326,-49345.08203125
327,-50814.17578125
328,-49261.5390625
329,-47028.0390625
330,-51998.3984375
331,-48535.546875
332,-49447.1484375
333,-50034.75
334,-50257.546875
335,-47387.015625
336,-54033.4296875
337,-48608.8125
338,-48325.859375
339,-51541.3828125
340,-51689.05078125
341,-47512.30078125
342,-45986.83984375
343,-50330.07421875
344,-49403.86328125
345,-55324.89453125
346,-50992.8046875
347,-4855.1533203125
