,agent/critic_loss
101,0.01864951103925705
102,0.5929227471351624
103,0.035559941083192825
104,0.01283950638025999
105,0.023702159523963928
106,0.015299699269235134
107,0.02546483837068081
108,0.009329061955213547
109,0.00720590865239501
110,0.042230088263750076
111,0.01550185214728117
112,0.01270903367549181
113,0.016399553045630455
114,0.007841783575713634
115,0.006203154567629099
116,0.01251609344035387
117,0.025721007958054543
118,0.007145443465560675
119,0.009393749758601189
120,0.00784631259739399
121,0.003934462089091539
122,0.029279718175530434
123,0.00420115701854229
124,0.00444685947149992
125,0.026204094290733337
126,0.0234192106872797
127,0.012119506485760212
128,0.005826396867632866
129,0.014287362806499004
130,0.0378572978079319
131,0.027219129726290703
132,0.02831781469285488
133,0.02062578871846199
134,0.01672871969640255
135,0.01218028087168932
136,0.05339430645108223
137,0.029854217544198036
138,0.023362867534160614
139,0.026049206033349037
140,0.014874196611344814
141,0.007458195090293884
142,0.005852246191352606
143,0.007986425422132015
144,0.0034070629626512527
145,0.020789990201592445
146,0.022683368995785713
147,0.01757504977285862
148,0.00474907411262393
149,0.035480890423059464
150,0.0021819770336151123
151,0.003011851804330945
152,0.0197667945176363
153,0.002507043769583106
154,0.0034191168379038572
155,0.021021967753767967
156,0.003004202852025628
157,0.02124989964067936
158,0.020402515307068825
159,0.02099401317536831
160,0.004947525914758444
161,0.003375232219696045
162,0.002241160487756133
163,0.03416057303547859
164,0.020961634814739227
165,0.06214592978358269
166,0.01147752720862627
167,0.0025827456265687943
168,0.006821371614933014
169,0.02902093529701233
170,0.048458248376846313
171,0.04347957670688629
172,0.05562238767743111
173,0.012876070104539394
174,0.023647556081414223
175,0.0296787116676569
176,0.034076377749443054
177,0.05130956694483757
178,0.030825519934296608
179,0.05354439839720726
180,0.06853902339935303
181,0.03628681227564812
182,0.010315068066120148
183,0.010046453215181828
184,0.031782496720552444
185,0.026552116498351097
186,0.0029769137036055326
187,0.03337526321411133
188,0.008408221416175365
189,0.03922051563858986
190,0.035804931074380875
191,0.0641806423664093
192,0.03777787461876869
193,0.02874469757080078
194,0.019873933866620064
195,0.012119081802666187
196,0.003928837366402149
197,0.01857772096991539
198,0.0028477709274739027
199,0.0028846675995737314
200,0.010093149729073048
201,0.014970037154853344
202,0.002556373132392764
203,0.0036567978095263243
204,0.034516964107751846
205,0.00322895310819149
206,0.021683886647224426
207,0.0038829923141747713
208,0.016747457906603813
209,0.017257599160075188
210,0.013025623746216297
211,0.020537791773676872
212,0.003367290599271655
213,0.0027458651456981897
214,0.031246617436408997
215,0.0022761793807148933
216,0.028393497690558434
217,0.0023600568529218435
218,0.003292673034593463
219,0.021041100844740868
220,0.0041979290544986725
221,0.0014068303862586617
222,0.03331737592816353
223,0.01585635356605053
224,0.011871710419654846
225,0.003422629786655307
226,0.01271036360412836
227,0.0017804857343435287
228,0.0017210427904501557
229,0.022765517234802246
230,0.019551659002900124
231,0.0183254424482584
232,0.030428165569901466
233,0.04499328136444092
234,0.01999582163989544
235,0.004429081920534372
236,0.0021540552843362093
237,0.0036255279555916786
238,0.012780454941093922
239,0.01118094939738512
240,0.02064363658428192
241,0.0058760866522789
242,0.006886219140142202
243,0.04384532943367958
244,0.017816664651036263
245,0.025613674893975258
246,0.016750341281294823
247,0.003256825730204582
248,0.02169416844844818
249,0.0025593233294785023
250,0.012387086637318134
251,0.03249802440404892
252,0.00743268383666873
253,0.004814937245100737
254,0.016298601403832436
255,0.016971373930573463
256,0.031670376658439636
257,0.005422024521976709
258,0.007083652541041374
259,0.005004117731004953
260,0.004038029350340366
261,0.016093915328383446
262,0.01806667074561119
263,0.0016836830182000995
264,0.0283819530159235
265,0.024024397134780884
266,0.025444395840168
267,0.006878057960420847
268,0.017450643703341484
269,0.015103080309927464
270,0.039315760135650635
271,0.008114229887723923
272,0.0038354371208697557
273,0.005489842500537634
274,0.005305153783410788
275,0.003388048382475972
276,0.0025355133693665266
277,0.003256122814491391
278,0.007746942341327667
279,0.004087597597390413
280,0.0021393701899796724
281,0.023990733548998833
282,0.01618289016187191
283,0.005053315311670303
284,0.01222685631364584
285,0.004704006016254425
286,0.03961488977074623
287,0.010907351970672607
288,0.003471068339422345
289,0.0030139274895191193
290,0.006752192974090576
291,0.007785520050674677
292,0.008230230771005154
293,0.0061917235143482685
294,0.007911200635135174
295,0.05211876705288887
296,0.019116606563329697
297,0.00449344189837575
298,0.024181470274925232
299,0.02130560576915741
300,0.020953191444277763
301,0.006437963340431452
302,0.0026379069313406944
303,0.0022408145014196634
304,0.003161160508170724
305,0.026949187740683556
306,0.008441467769443989
307,0.019988320767879486
308,0.00316641665995121
309,0.007852808572351933
310,0.012294637970626354
311,0.034014564007520676
312,0.021071331575512886
313,0.040124982595443726
314,0.011261634528636932
315,0.01351825799793005
316,0.02237803302705288
317,0.011619164608418941
